Replication, Day, Arrival Amount
0, 0, 30
0, 1, 30
0, 2, 30
0, 3, 30
0, 4, 30
0, 5, 30
0, 6, 30
0, 7, 30
0, 8, 30
0, 9, 30
0, 10, 30
0, 11, 30
0, 12, 30
0, 13, 30
0, 14, 30
0, 15, 30
0, 16, 30
0, 17, 30
0, 18, 30
0, 19, 30
0, 20, 30
0, 21, 30
0, 22, 30
0, 23, 30
0, 24, 30
0, 25, 30
0, 26, 30
0, 27, 30
0, 28, 30
0, 29, 30
0, 30, 30
0, 31, 30
0, 32, 30
0, 33, 30
0, 34, 30
0, 35, 30
0, 36, 30
0, 37, 30
0, 38, 30
0, 39, 30
0, 40, 30
0, 41, 30
0, 42, 30
0, 43, 30
0, 44, 30
0, 45, 30
0, 46, 30
0, 47, 30
0, 48, 30
0, 49, 30
0, 50, 30
0, 51, 30
0, 52, 30
0, 53, 30
0, 54, 30
0, 55, 30
0, 56, 30
0, 57, 30
0, 58, 30
0, 59, 30
0, 60, 30
0, 61, 30
0, 62, 30
0, 63, 30
0, 64, 30
0, 65, 30
0, 66, 30
0, 67, 30
0, 68, 30
0, 69, 30
0, 70, 30
0, 71, 30
0, 72, 30
0, 73, 30
0, 74, 30
0, 75, 30
0, 76, 30
0, 77, 30
0, 78, 30
0, 79, 30
0, 80, 30
0, 81, 30
0, 82, 30
0, 83, 30
0, 84, 30
0, 85, 30
0, 86, 30
0, 87, 30
0, 88, 30
0, 89, 30
0, 90, 30
0, 91, 30
0, 92, 30
0, 93, 30
0, 94, 30
0, 95, 30
0, 96, 30
0, 97, 30
0, 98, 30
0, 99, 30
0, 100, 30
0, 101, 30
0, 102, 30
0, 103, 30
0, 104, 30
0, 105, 30
0, 106, 30
0, 107, 30
0, 108, 30
0, 109, 30
0, 110, 30
0, 111, 30
0, 112, 30
0, 113, 30
0, 114, 30
0, 115, 30
0, 116, 30
0, 117, 30
0, 118, 30
0, 119, 30
0, 120, 30
0, 121, 30
0, 122, 30
0, 123, 30
0, 124, 30
0, 125, 30
0, 126, 30
0, 127, 30
0, 128, 30
0, 129, 30
0, 130, 30
0, 131, 30
0, 132, 30
0, 133, 30
0, 134, 30
0, 135, 30
0, 136, 30
0, 137, 30
0, 138, 30
0, 139, 30
0, 140, 30
0, 141, 30
0, 142, 30
0, 143, 30
0, 144, 30
0, 145, 30
0, 146, 30
0, 147, 30
0, 148, 30
0, 149, 30
0, 150, 30
0, 151, 30
0, 152, 30
0, 153, 30
0, 154, 30
0, 155, 30
0, 156, 30
0, 157, 30
0, 158, 30
0, 159, 30
0, 160, 30
0, 161, 30
0, 162, 30
0, 163, 30
0, 164, 30
0, 165, 30
0, 166, 30
0, 167, 30
0, 168, 30
0, 169, 30
0, 170, 30
0, 171, 30
0, 172, 30
0, 173, 30
0, 174, 30
0, 175, 30
0, 176, 30
0, 177, 30
0, 178, 30
0, 179, 30
0, 180, 30
0, 181, 30
0, 182, 30
0, 183, 30
0, 184, 30
0, 185, 30
0, 186, 30
0, 187, 30
0, 188, 30
0, 189, 30
0, 190, 30
0, 191, 30
0, 192, 30
0, 193, 30
0, 194, 30
0, 195, 30
0, 196, 30
0, 197, 30
0, 198, 30
0, 199, 30
0, 200, 30
0, 201, 30
0, 202, 30
0, 203, 30
0, 204, 30
0, 205, 30
0, 206, 30
0, 207, 30
0, 208, 30
0, 209, 30
0, 210, 30
0, 211, 30
0, 212, 30
0, 213, 30
0, 214, 30
0, 215, 30
0, 216, 30
0, 217, 30
0, 218, 30
0, 219, 30
0, 220, 30
0, 221, 30
0, 222, 30
0, 223, 30
0, 224, 30
0, 225, 30
0, 226, 30
0, 227, 30
0, 228, 30
0, 229, 30
0, 230, 30
0, 231, 30
0, 232, 30
0, 233, 30
0, 234, 30
0, 235, 30
0, 236, 30
0, 237, 30
0, 238, 30
0, 239, 30
0, 240, 30
0, 241, 30
0, 242, 30
0, 243, 30
0, 244, 30
0, 245, 30
0, 246, 30
0, 247, 30
0, 248, 30
0, 249, 30
0, 250, 30
0, 251, 30
0, 252, 30
0, 253, 30
0, 254, 30
0, 255, 30
0, 256, 30
0, 257, 30
0, 258, 30
0, 259, 30
0, 260, 30
0, 261, 30
0, 262, 30
0, 263, 30
0, 264, 30
0, 265, 30
0, 266, 30
0, 267, 30
0, 268, 30
0, 269, 30
0, 270, 30
0, 271, 30
0, 272, 30
0, 273, 30
0, 274, 30
0, 275, 30
0, 276, 30
0, 277, 30
0, 278, 30
0, 279, 30
0, 280, 30
0, 281, 30
0, 282, 30
0, 283, 30
0, 284, 30
0, 285, 30
0, 286, 30
0, 287, 30
0, 288, 30
0, 289, 30
0, 290, 30
0, 291, 30
0, 292, 30
0, 293, 30
0, 294, 30
0, 295, 30
0, 296, 30
0, 297, 30
0, 298, 30
0, 299, 30
0, 300, 30
0, 301, 30
0, 302, 30
0, 303, 30
0, 304, 30
0, 305, 30
0, 306, 30
0, 307, 30
0, 308, 30
0, 309, 30
0, 310, 30
0, 311, 30
0, 312, 30
0, 313, 30
0, 314, 30
0, 315, 30
0, 316, 30
0, 317, 30
