Replication, Day, Arrival Amount
0, 0, 30.0
0, 1, 30.25
0, 2, 30.5
0, 3, 30.75
0, 4, 31.0
0, 5, 31.25
0, 6, 31.5
0, 7, 31.75
0, 8, 32.0
0, 9, 32.25
0, 10, 32.5
0, 11, 32.75
0, 12, 33.0
0, 13, 33.25
0, 14, 33.5
0, 15, 33.75
0, 16, 34.0
0, 17, 34.25
0, 18, 34.5
0, 19, 34.75
0, 20, 35.0
0, 21, 35.25
0, 22, 35.5
0, 23, 35.75
0, 24, 36.0
0, 25, 36.25
0, 26, 36.5
0, 27, 36.75
0, 28, 37.0
0, 29, 37.25
0, 30, 37.5
0, 31, 37.75
0, 32, 38.0
0, 33, 38.25
0, 34, 38.5
0, 35, 38.75
0, 36, 39.0
0, 37, 39.25
0, 38, 39.5
0, 39, 39.75
0, 40, 40.0
0, 41, 40.25
0, 42, 40.5
0, 43, 40.75
0, 44, 41.0
0, 45, 41.25
0, 46, 41.5
0, 47, 41.75
0, 48, 42.0
0, 49, 42.25
0, 50, 42.5
0, 51, 42.75
0, 52, 43.0
0, 53, 43.25
0, 54, 43.5
0, 55, 43.75
0, 56, 44.0
0, 57, 44.25
0, 58, 44.5
0, 59, 44.75
0, 60, 45.0
0, 61, 45.25
0, 62, 45.5
0, 63, 45.75
0, 64, 46.0
0, 65, 46.25
0, 66, 46.5
0, 67, 46.75
0, 68, 47.0
0, 69, 47.25
0, 70, 47.5
0, 71, 47.75
0, 72, 48.0
0, 73, 48.25
0, 74, 48.5
0, 75, 48.75
0, 76, 49.0
0, 77, 49.25
0, 78, 49.5
0, 79, 49.75
0, 80, 50.0
0, 81, 50.25
0, 82, 50.5
0, 83, 50.75
0, 84, 51.0
0, 85, 51.25
0, 86, 51.5
0, 87, 51.75
0, 88, 52.0
0, 89, 52.25
0, 90, 52.5
0, 91, 52.75
0, 92, 53.0
0, 93, 53.25
0, 94, 53.5
0, 95, 53.75
0, 96, 54.0
0, 97, 54.25
0, 98, 54.5
0, 99, 54.75
0, 100, 55.0
0, 101, 55.25
0, 102, 55.5
0, 103, 55.75
0, 104, 56.0
0, 105, 56.25
0, 106, 56.5
0, 107, 56.75
0, 108, 57.0
0, 109, 57.25
0, 110, 57.5
0, 111, 57.75
0, 112, 58.0
0, 113, 58.25
0, 114, 58.5
0, 115, 58.75
0, 116, 59.0
0, 117, 59.25
0, 118, 59.5
0, 119, 59.75
0, 120, 60.0
0, 121, 60.25
0, 122, 60.5
0, 123, 60.75
0, 124, 61.0
0, 125, 61.25
0, 126, 61.5
0, 127, 61.75
0, 128, 62.0
0, 129, 62.25
0, 130, 62.5
0, 131, 62.75
0, 132, 63.0
0, 133, 63.25
0, 134, 63.5
0, 135, 63.75
0, 136, 64.0
0, 137, 64.25
0, 138, 64.5
0, 139, 64.75
0, 140, 65.0
0, 141, 65.25
0, 142, 65.5
0, 143, 65.75
0, 144, 66.0
0, 145, 66.25
0, 146, 66.5
0, 147, 66.75
0, 148, 67.0
0, 149, 67.25
0, 150, 67.5
0, 151, 67.75
0, 152, 68.0
0, 153, 68.25
0, 154, 68.5
0, 155, 68.75
0, 156, 69.0
0, 157, 69.25
0, 158, 69.5
0, 159, 69.75
0, 160, 70.0
0, 161, 70.25
0, 162, 70.5
0, 163, 70.75
0, 164, 71.0
0, 165, 71.25
0, 166, 71.5
0, 167, 71.75
0, 168, 72.0
0, 169, 72.25
0, 170, 72.5
0, 171, 72.75
0, 172, 73.0
0, 173, 73.25
0, 174, 73.5
0, 175, 73.75
0, 176, 74.0
0, 177, 74.25
0, 178, 74.5
0, 179, 74.75
0, 180, 75.0
0, 181, 75.25
0, 182, 75.5
0, 183, 75.75
0, 184, 76.0
0, 185, 76.25
0, 186, 76.5
0, 187, 76.75
0, 188, 77.0
0, 189, 77.25
0, 190, 77.5
0, 191, 77.75
0, 192, 78.0
0, 193, 78.25
0, 194, 78.5
0, 195, 78.75
0, 196, 79.0
0, 197, 79.25
0, 198, 79.5
0, 199, 79.75
0, 200, 80.0
0, 201, 80.25
0, 202, 80.5
0, 203, 80.75
0, 204, 81.0
0, 205, 81.25
0, 206, 81.5
0, 207, 81.75
0, 208, 82.0
0, 209, 82.25
0, 210, 82.5
0, 211, 82.75
0, 212, 83.0
0, 213, 83.25
0, 214, 83.5
0, 215, 83.75
0, 216, 84.0
0, 217, 84.25
0, 218, 84.5
0, 219, 84.75
0, 220, 85.0
0, 221, 85.25
0, 222, 85.5
0, 223, 85.75
0, 224, 86.0
0, 225, 86.25
0, 226, 86.5
0, 227, 86.75
0, 228, 87.0
0, 229, 87.25
0, 230, 87.5
0, 231, 87.75
0, 232, 88.0
0, 233, 88.25
0, 234, 88.5
0, 235, 88.75
0, 236, 89.0
0, 237, 89.25
0, 238, 89.5
0, 239, 89.25
0, 240, 89.0
0, 241, 88.75
0, 242, 88.5
0, 243, 88.75
0, 244, 89.0
0, 245, 88.75
0, 246, 88.5
0, 247, 88.25
0, 248, 88.0
0, 249, 87.75
0, 250, 87.5
0, 251, 87.25
0, 252, 87.0
0, 253, 86.75
0, 254, 86.5
0, 255, 86.25
0, 256, 86.0
0, 257, 85.75
0, 258, 85.5
0, 259, 85.25
0, 260, 85.0
0, 261, 84.75
0, 262, 84.5
0, 263, 84.25
0, 264, 84.0
0, 265, 83.75
0, 266, 83.5
0, 267, 83.25
0, 268, 83.0
0, 269, 82.75
0, 270, 82.5
0, 271, 82.25
0, 272, 82.0
0, 273, 81.75
0, 274, 81.5
0, 275, 81.25
0, 276, 81.0
0, 277, 80.75
0, 278, 80.5
0, 279, 80.25
0, 280, 80.0
0, 281, 79.75
0, 282, 79.5
0, 283, 79.25
0, 284, 79.0
0, 285, 78.75
0, 286, 78.5
0, 287, 78.25
0, 288, 78.0
0, 289, 77.75
0, 290, 77.5
0, 291, 77.25
0, 292, 77.0
0, 293, 76.75
0, 294, 76.5
0, 295, 76.25
0, 296, 76.0
0, 297, 75.75
0, 298, 75.5
0, 299, 75.25
0, 300, 75.0
0, 301, 74.75
0, 302, 74.5
0, 303, 74.25
0, 304, 74.0
0, 305, 73.75
0, 306, 73.5
0, 307, 73.25
0, 308, 73.0
0, 309, 72.75
0, 310, 72.5
0, 311, 72.25
0, 312, 72.0
0, 313, 71.75
0, 314, 71.5
0, 315, 71.25
0, 316, 71.0
0, 317, 70.75
0, 318, 70.5
0, 319, 70.25
0, 320, 70.0
0, 321, 69.75
0, 322, 69.5
0, 323, 69.25
0, 324, 69.0
0, 325, 68.75
0, 326, 68.5
0, 327, 68.25
0, 328, 68.0
0, 329, 67.75
0, 330, 67.5
0, 331, 67.25
0, 332, 67.0
0, 333, 66.75
0, 334, 66.5
0, 335, 66.25
0, 336, 66.0
0, 337, 65.75
0, 338, 65.5
0, 339, 65.25
0, 340, 65.0
0, 341, 64.75
0, 342, 64.5
0, 343, 64.25
0, 344, 64.0
0, 345, 63.75
0, 346, 63.5
0, 347, 63.25
0, 348, 63.0
0, 349, 62.75
0, 350, 62.5
0, 351, 62.25
0, 352, 62.0
0, 353, 61.75
0, 354, 61.5
0, 355, 61.25
0, 356, 61.0
0, 357, 60.75
0, 358, 60.5
0, 359, 60.25
0, 360, 60.0
0, 361, 59.75
0, 362, 59.5
0, 363, 59.25
0, 364, 59.0
0, 365, 58.75
0, 366, 58.5
0, 367, 58.25
0, 368, 58.0
0, 369, 57.75
0, 370, 57.5
0, 371, 57.25
0, 372, 57.0
0, 373, 56.75
0, 374, 56.5
0, 375, 56.25
0, 376, 56.0
0, 377, 55.75
0, 378, 55.5
0, 379, 55.25
0, 380, 55.0
0, 381, 54.75
0, 382, 54.5
0, 383, 54.25
0, 384, 54.0
0, 385, 53.75
0, 386, 53.5
0, 387, 53.25
0, 388, 53.0
0, 389, 52.75
