Replication, Day, Queue Amount
0, 365, 5000
0, 366, 4943
0, 367, 4883
0, 368, 4829
0, 369, 4771
0, 370, 4724
0, 371, 4752
0, 372, 4786
0, 373, 4730
0, 374, 4653
0, 375, 4606
0, 376, 4560
0, 377, 4502
0, 378, 4545
0, 379, 4574
0, 380, 4513
0, 381, 4437
0, 382, 4356
0, 383, 4279
0, 384, 4201
0, 385, 4242
0, 386, 4280
0, 387, 4210
0, 388, 4159
0, 389, 4104
0, 390, 4013
0, 391, 3949
0, 392, 3977
0, 393, 4011
0, 394, 3950
0, 395, 3904
0, 396, 3846
0, 397, 3786
0, 398, 3725
0, 399, 3758
0, 400, 3792
0, 401, 3743
0, 402, 3677
0, 403, 3595
0, 404, 3530
0, 405, 3443
0, 406, 3482
0, 407, 3510
0, 408, 3450
0, 409, 3381
0, 410, 3306
0, 411, 3252
0, 412, 3185
0, 413, 3220
0, 414, 3254
0, 415, 3186
0, 416, 3126
0, 417, 3073
0, 418, 3001
0, 419, 2934
0, 420, 2965
0, 421, 3005
0, 422, 2947
0, 423, 2888
0, 424, 2806
0, 425, 2768
0, 426, 2697
0, 427, 2729
0, 428, 2764
0, 429, 2698
0, 430, 2649
0, 431, 2571
0, 432, 2484
0, 433, 2408
0, 434, 2436
0, 435, 2478
0, 436, 2409
0, 437, 2331
0, 438, 2255
0, 439, 2189
0, 440, 2147
0, 441, 2177
0, 442, 2217
0, 443, 2152
0, 444, 2102
0, 445, 2048
0, 446, 1976
0, 447, 1904
0, 448, 1934
0, 449, 1976
0, 450, 1915
0, 451, 1863
0, 452, 1813
0, 453, 1734
0, 454, 1678
0, 455, 1719
0, 456, 1760
0, 457, 1735
0, 458, 1686
0, 459, 1630
0, 460, 1564
0, 461, 1502
0, 462, 1548
0, 463, 1585
0, 464, 1538
0, 465, 1473
0, 466, 1425
0, 467, 1347
0, 468, 1303
0, 469, 1341
0, 470, 1377
0, 471, 1296
0, 472, 1250
0, 473, 1186
0, 474, 1129
0, 475, 1059
0, 476, 1089
0, 477, 1124
0, 478, 1071
0, 479, 1004
0, 480, 946
